Date;deficitOnTopLayers (g/m²/d);minTair (°C);maxTair (°C);solarRadiation (MJ/m²/d);extraSolarRadiation (MJ/m²/d);vaporPressure (hPa);tau (plant cover factor dimensionless);hslope (hPa/°C);plantHeight (mm);wind (m/d);VPDair (hPa);isWindVpDefined;Wc_3cm (g/m²/d);Ntip
10/2/1991 12:00:00 AM;32711.9939615859;1.8;13;13.6;29.9027282359956;6.8;0.175692813538653;0.750562925170847;4.16488753064505;483000;4.16688003514964;1;1.7340586795558;0
10/3/1991 12:00:00 AM;33034.6939445843;3.6;12.6;17.8;30.1820499087909;7.2;0.1687252939841;0.765442703834825;4.67769829065138;315000;4.04837665653237;1;1.56254943828098;0
10/4/1991 12:00:00 AM;33322.3776459025;3.6;15.6;13;30.4589184450252;7.4;0.160403620186318;0.861484504876592;5.35623071046798;429000;5.41497302057593;1;1.40977247208269;0
10/5/1991 12:00:00 AM;33585.1464778474;2.3;12.5;19.2;30.7331773412879;7.7;0.151863688593705;0.742706423301331;6.08542517564827;318000;3.15208444558691;1;1.27033716351576;0
10/6/1991 12:00:00 AM;33810.2146045236;3.8;13;12.8;31.0046716220103;6.7;0.144908662087666;0.780538397327241;6.77865426043152;305000;4.79827340987447;1;1.15100359491086;0
10/7/1991 12:00:00 AM;34005.8743329816;1;22.3;13.5;31.2732480759766;7.4;0.139384837698981;1.10734080869085;7.39627176097612;279000;9.34686858512859;1;1.04734217853337;0
10/8/1991 12:00:00 AM;34175.927397591;2.6;19.4;20;31.5387554982298;8.2;0.131152738938249;0.993495111705904;8.44090170534021;564000;6.74676545572031;1;0.957313591911664;0
10/9/1991 12:00:00 AM;34321.7875481174;7.6;20.3;14.1;31.8010449371833;8.9;0.124833164159753;1.11201574344548;9.37425822170839;468000;8.22975386276111;1;0.880147390802404;0
10/10/1991 12:00:00 AM;34458.8325845302;7.8;11.3;12.1;32.0599699467158;8.3;0.116860778644602;0.806139051274375;10.0568270949592;288000;3.68682787057773;1;0.807692546740269;0
10/11/1991 12:00:00 AM;34578.1379518056;-1;12.8;21;32.3153868429864;7.4;0.111985280924468;0.70880853857211;10.5354780659186;544000;2.83020008209743;1;0.744659303181713;0
10/12/1991 12:00:00 AM;34683.4774345054;4.9;17.1;23.4;32.5671549656638;7.1;0.109277333764621;0.935976484654922;10.8357130986716;356000;6.98141904612411;1;0.68904050556977;0
